batch,run,h_ip,N_e,has_full_raster,n_avalanches,branching_ratio_exp,branching_ratio_complex,dfa,branching_parameter,susceptibility,fano_factor,activity,cv,av_threshold_used
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-032,0.02,200,False,531074,0.8527311408496909,0.937763899276592,0.40973111583412436,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-034,0.02,200,False,493738,0.9515807199843674,0.9659028678986195,0.09836758401733212,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-035,0.02,200,False,527787,0.7963027713078847,0.8187307530780483,0.3915365960019652,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-037,0.02,200,False,513194,0.8589653378957736,0.8988268837074731,0.2206603118916629,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-038,0.02,200,False,511258,0.8749070372202518,0.8782780563964913,0.3207624095094611,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-040,0.02,200,False,469525,0.9420168572525381,0.9950144424621865,0.10533302160668201,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-041,0.02,200,False,512871,0.9148508800297973,0.9996432672683193,0.1281005640544131,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-042,0.02,200,False,515147,0.8047361610503088,0.8187307565479537,0.17137767963983225,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-043,0.02,200,False,516988,0.8659046761083589,0.9794817219976263,0.2709607159449983,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-044,0.02,200,False,507090,0.9088332336755282,0.9033539985884282,0.18632613443257257,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-045,0.02,200,False,522737,0.8329121579455507,0.8187307530779819,0.26520399334149636,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-046,0.02,200,False,499993,0.904041627237028,0.9301234684861799,0.12811908974980735,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-047,0.02,200,False,510652,0.9340303008422775,0.9248988188203079,0.14064881259833872,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-048,0.02,200,False,486754,0.9266434119423981,0.9251301868269826,0.10869528708542611,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-049,0.02,200,False,491659,0.9486333700693788,0.9604111512153545,0.1208461388095641,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-050,0.02,200,False,499127,0.8993308814328996,0.9206909079369304,0.11256075014860843,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.05,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.05/run-001,0.05,200,False,269849,0.9460328216189445,0.9905667817476423,0.029005739090214384,,,,,,5.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.05,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.05/run-003,0.05,200,False,319711,0.9754038205951148,0.9964365536584658,0.040181066242571395,,,,,,5.0
